,index,Course Code,Course Title,EOS,Mid,EOS_Points
0,10,AL601,Electronics and Computer Engineering,240,321,240
1,11,AL602,Mechanical Engineering,201,299,201
2,12,AL604,Civil Engineering,243,320,243
3,13,AL630,Pharmacy Technician,306,388,306
4,14,AL631,Dental Nursing,307,348,307
5,15,AL632,Science (Bioscience/Chemistry),216,444,216
6,16,AL650,Business,200,357,200
7,17,AL651,Music and Instrument Technology,AQA,308,AQA
8,18,AL652,Business in Equine,AQA,281,AQA
9,19,AL660,Culinary Arts,AQA,208,AQA
10,20,AL661,Bar Supervision,150,213,150
11,21,AL663,Business (Sport and Recreation),181,265,181
12,22,AL701,ICT Engineering: Computer Eng or Network Mgmnt or Electronic Comms,210,366,210
13,23,AL704,Computer Engineering,205,319,205
14,24,AL705,Software Development (Mobile Apps and Connected Devices),207,308,207
15,25,AL710,Mechanical Engineering,218,308,218
16,26,AL711,Mechanical Engineering and Renewable Energy,252,358,252
17,27,AL712,Mechatronics,283,386,283
18,28,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),223,388,223
19,29,AL721,Civil Engineering,245,328,245
20,30,AL730,Biotechnology,206,357,206
21,31,AL731,Veterinary Nursing,398,442,398
22,32,AL733,Forensic Toxicology,215,354,215
23,33,AL734,Pharmaceutical Sciences (Drug Development and Analysis),214,336,214
24,34,AL751,Digital Marketing,222,321,222
25,35,AL761,Hotel and Leisure Management,208,317,208
26,36,AL763,Graphic Design (Portfolio Required),#783,842,#783
27,37,AL764,Early Years Care and Education,270,370,270
28,38,AL765,Applied Social Studies in Social Care,278,347,278
29,41,CW006,Business (Wexford),129,298,129
30,42,CW017,Applied Social Studies - Professional Social Care (Wexford),162,242,162
31,43,CW027,Sustainable Farm Management and Agribusiness (Wexford),222,328,222
32,44,CW037,Business (with options - Wexford),195,311,195
33,45,CW046,Computing (Wexford),,,
34,46,CW047,Visual Communications and Design (Wexford),198,339,198
35,47,CW057,Art (Portfolio - Wexford),#700,700,#700
36,48,CW106,Physiology and Health Science,454,495,454
37,49,CW107,Analytical Science,213,348,213
38,50,CW116,Pharmacy Technician Studies,287,380,287
39,51,CW117,Biosciences,214,336,214
40,1,CW126,Science - Applied Biology or Applied Chemistry,198,379.0,198
41,2,CW206,Computing - Applications or Programming,200,251.0,200
42,3,CW207,Software Development,251,337.0,251
43,4,CW217,Information Technology Management,234,347.0,234
44,5,CW227,Cybercrime and IT Security,251,309.0,251
45,6,CW407,Architectural Technology,186,309.0,186
46,7,CW417,Construction Management with Building Services,226,289.0,226
47,8,CW427,Civil Engineering,200,331.0,200
48,9,CW507,Aircraft Systems,281,349.0,281
49,10,CW517,Mechanical Engineering,264,350.0,264
50,11,CW527,Electronic Engineering,217,298.0,217
51,12,CW547,TV and Media Production,326,379.0,326
52,13,CW706,Legal Studies,202,339.0,202
53,14,CW707,Industrial Design,207,364.0,207
54,15,CW717,Applied Social Studies - Professional Social Care,240,316.0,240
55,16,CW807,Sports Coaching and Business Management - GAA (Portfolio),#700,700.0,#700
56,17,CW817,Sports Coaching and Business Management - Rugby (Portfolio),#700,700.0,#700
57,18,CW827,Sports Coaching and Business Management - Soccer (Portfolio),#700,700.0,#700
58,19,CW906,Business,171,206.0,171
59,20,CW917,Business (with options),208,332.0,208
60,21,CW926,Business with Law,208,339.0,208
61,22,CW927,Business Administration,242,317.0,242
62,23,CW936,Accounting,207,367.0,207
63,26,PC402,Humanities,AQA,318.0,AQA
64,27,PC404,Applied Social Studies in Social Care,AQA,227.0,AQA
65,30,CR001,Applied Physics and Instrumentation,297,413.0,297
66,31,CR006,Applied Biosciences (Degree award options),360,462.0,360
67,32,CR007,Analytical and Pharmaceutical Chemistry,292,488.0,292
68,33,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),289,389.0,289
69,34,CR016,Software Development,270,362.0,270
70,35,CR021,Business (Common Entry - Degree award options),240,402.0,240
71,36,CR022,Business Administration,192,299.0,192
72,37,CR031,Social Care,326,392.0,326
73,38,CR032,Recreation and Leisure Management,260,349.0,260
74,39,CR035,Community Development,117,215.0,117
75,40,CR041,Tourism Management,185,311.0,185
76,41,CR042,Hospitality Management,182,284.0,182
77,42,CR046,Automotive Technology and Management,200,260.0,200
78,43,CR051,Civil Engineering,226,410.0,226
79,44,CR052,Construction (Degree award options),225,309.0,225
80,45,CR053,Interior Architecture,252,378.0,252
81,46,CR055,Environmental Engineering,226,389.0,226
82,47,CR061,Electronic Engineering,251,421.0,251
83,48,CR062,Electrical Engineering,250,343.0,250
84,49,CR071,Mechanical Engineering,270,424.0,270
85,50,CR075,Biomedical Engineering,312,476.0,312
86,51,CR090,Architectural Technology,244,404.0,244
87,52,CR094,Nautical Science at National Maritime College of Ireland,257,387.0,257
88,53,CR095,Marine Engineering at National Maritime College of Ireland,241,339.0,241
89,54,CR300,Physical Sciences (Common Entry),300,498.0,300
90,1,CR620,Early Years Education,341,418.0,341
91,2,CR640,Culinary Arts,197,318.0,197
92,3,CR650,Beverage Industry Management,120,262.0,120
93,4,CR655,Culinary Studies,139,272.0,139
94,5,CR657,Hospitality Studies,154,208.0,154
95,6,CR805,Marine Electrotechnology at National Maritime College of Ireland,244,340.0,244
96,7,CR888,Information Technology,280,372.0,280
97,10,CT110,Computing in Information Technology,130,424.0,130
98,11,CT116,Information Technology,170,276.0,170
99,14,DS602,Computing and Multimedia,AQA,92.0,AQA
100,15,DS603,Computing and Multimedia,206,288.0,206
101,16,DS701,Business,120,298.0,120
102,17,DS702,Computing and Multimedia,200,282.0,200
103,20,DB513,Business,190,401.0,190
104,21,DB522,Business in Accounting,197,455.0,197
105,22,DB528,Applied Social Care,129,278.0,129
106,23,DB533,Business in Marketing,187,287.0,187
107,24,DB534,Sound Engineering and Music Production,164,351.0,164
108,25,DB563,Arts,136,327.0,136
109,26,DB571,Business Studies,146,358.0,146
110,27,DB572,Business in Accounting,117,412.0,117
111,28,DB573,Business in Marketing,135,294.0,135
112,29,DB574,Business in Information Technology,144,429.0,144
113,30,DB575,Social Studies,158,338.0,158
114,31,DB576,Film and Media,AQA,298.0,AQA
115,32,DB580,Legal Studies,122,259.0,122
