,index,Course Code,Course Title,EOS,Mid,EOS_Points
1,2,AL801,Software Design with Virtual Reality and Gaming,304,328,304
2,3,AL802,Software Design with Cloud Computing,301,306,301
3,4,AL803,Software Design with Mobile Apps and Connected Devices,309,337,309
4,5,AL805,Network Management and Cloud Infrastructure,329,442,329
5,6,AL810,Quantity Surveying,307,349,307
6,7,AL820,Mechanical and Polymer Engineering,300,358,300
7,8,AL830,General Nursing,410,429,410
8,9,AL832,Psychiatric Nursing,387,403,387
9,10,AL836,Nutrition and Health Science,352,383,352
10,11,AL837,Sports Science with Exercise Physiology,351,392,351
11,12,AL838,Biotechnology,302,372,302
12,13,AL839,Microbiology,322,371,322
13,14,AL840,Pharmaceutical Sciences,328,411,328
14,15,AL841,Athletic and Rehabilitation Therapy,423,430,423
15,16,AL842,Bioveterinary Science,310,366,310
16,17,AL843,Physical Activity and Health Science,310,330,310
17,18,AL850,Business,307,356,307
18,19,AL851,Business and Law,301,341,301
19,20,AL852,Accounting (with optional placement),290,346,290
20,21,AL853,Accounting and Law,305,320,305
21,22,AL855,Hospitality Management (with International placement),312,357,312
22,23,AL857,Digital Marketing,300,360,300
23,24,AL860,Social Care Practice,309,338,309
24,25,AL861,Animation and Illustration (portfolio),#615,899,615
25,26,AL863,Graphic and Digital Design (portfolio),#703,898,703
26,27,AL864,Early Years Care and Education,307,348,307
27,28,AL870,Applied Psychology,409,445,409
29,30,CW018,"Business (options, Wexford)",327,349,327
30,31,CW028,Early Childhood Education and Care (Wexford),252,308,252
31,32,CW038,"Art (portfolio, Wexford)",#700,700,700
32,33,CW058,Tourism and Event Management (Wexford),252,262,252
33,34,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,251
34,35,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,266
35,36,CW088,Visual Communications and Design (Wexford),309,345,309
36,37,CW108,Science (options),261,326,261
37,38,CW128,Brewing and Distilling,271,298,271
38,39,CW178,Sport Science (options),399,424,399
39,40,CW188,Sport Rehabilitation and Athletic Therapy,454,473,454
40,41,CW208,Computer Games Development,281,338,281
41,42,CW238,Software Development,300,343,300
42,43,CW248,Information Technology Management,307,357,307
43,0,CW258,Cybercrime and IT Security,300,,300
44,1,CW268,Computing in Interactive Digital Art and Design,274,,274
45,2,CW438,Construction (options),271,,271
46,3,CW468,Architectural Technology,252,,252
47,4,CW478,Civil Engineering,348,,348
48,5,CW548,Mechanical Engineering,310,,310
49,6,CW558,Electronic Systems,279,,279
50,7,CW568,Aerospace Engineering,366,,366
51,8,CW578,TV and Media Production,327,,327
52,9,CW708,Law - LLB,298,,298
53,10,CW728,Product Design Innovation,286,,286
54,11,CW748,Early Childhood Education and Care,265,,265
55,12,CW758,Applied Social Studies - Professional Social Care,290,,290
56,13,CW808,Media and Public Relations,248,,248
57,14,CW848,Digital Marketing with Analytics,279,,279
58,15,CW858,"Sports Management and Coaching (options, portfolio)",#700,,700
59,16,CW908,Business (options),260,,260
60,17,CW938,Business with Law,270,,270
61,18,CW948,Accounting,301,,301
63,20,PC405,"Social, Political and Community Studies",251,,251
64,21,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,,203
65,22,PC411,English and History (fulfils Teaching Council requirements),168,,168
67,24,CR105,Chemical and Biopharmaceutical Engineering,432,,432
68,25,CR106,Software Development,351,,351
69,26,CR108,Mechanical Engineering,425,,425
70,27,CR109,Structural Engineering,341,,341
71,28,CR110,Automotive Business Management and Technology,318,,318
72,29,CR112,Creative Digital Media,335,,335
73,30,CR116,Computer Systems,318,,318
74,31,CR121,Music at CIT Cork School of Music,#633,,633
75,32,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,,972
76,33,CR126,Popular Music: Drums at CIT Cork School of Music,#878,,878
77,34,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,,584
78,35,CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,,839
79,36,CR129,Popular Music: Voice at CIT Cork School of Music,#857,,857
80,37,CR130,Musical Theatre,#500,,500
81,38,CR150,Business Information Systems,326,,326
82,39,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,,979
83,40,CR220,Fine Art at CIT Crawford College of Art and Design,#620,,620
84,41,CR225,Photography with New Media,#920,,920
85,42,CR305,Physical Sciences (Common Entry),279,,279
86,43,CR310,IT Management,282,,282
87,44,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,,546
