,index,Course Code,Course Title,EOS,Mid,EOS_Points,Mid_Points
1,2,AL801,Software Design with Virtual Reality and Gaming,304,328,304,328
2,3,AL802,Software Design with Cloud Computing,301,306,301,306
3,4,AL803,Software Design with Mobile Apps and Connected Devices,309,337,309,337
4,5,AL805,Network Management and Cloud Infrastructure,329,442,329,442
5,6,AL810,Quantity Surveying,307,349,307,349
6,7,AL820,Mechanical and Polymer Engineering,300,358,300,358
7,8,AL830,General Nursing,410,429,410,429
8,9,AL832,Psychiatric Nursing,387,403,387,403
9,10,AL836,Nutrition and Health Science,352,383,352,383
10,11,AL837,Sports Science with Exercise Physiology,351,392,351,392
11,12,AL838,Biotechnology,302,372,302,372
12,13,AL839,Microbiology,322,371,322,371
13,14,AL840,Pharmaceutical Sciences,328,411,328,411
14,15,AL841,Athletic and Rehabilitation Therapy,423,430,423,430
15,16,AL842,Bioveterinary Science,310,366,310,366
16,17,AL843,Physical Activity and Health Science,310,330,310,330
17,18,AL850,Business,307,356,307,356
18,19,AL851,Business and Law,301,341,301,341
19,20,AL852,Accounting (with optional placement),290,346,290,346
20,21,AL853,Accounting and Law,305,320,305,320
21,22,AL855,Hospitality Management (with International placement),312,357,312,357
22,23,AL857,Digital Marketing,300,360,300,360
23,24,AL860,Social Care Practice,309,338,309,338
24,25,AL861,Animation and Illustration (portfolio),#615,899,#615,899
25,26,AL863,Graphic and Digital Design (portfolio),#703,898,#703,898
26,27,AL864,Early Years Care and Education,307,348,307,348
27,28,AL870,Applied Psychology,409,445,409,445
29,30,CW018,"Business (options, Wexford)",327,349,327,349
30,31,CW028,Early Childhood Education and Care (Wexford),252,308,252,308
31,32,CW038,"Art (portfolio, Wexford)",#700,700,#700,700
32,33,CW058,Tourism and Event Management (Wexford),252,262,252,262
33,34,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,251,280
34,35,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,266,320
35,36,CW088,Visual Communications and Design (Wexford),309,345,309,345
36,37,CW108,Science (options),261,326,261,326
37,38,CW128,Brewing and Distilling,271,298,271,298
38,39,CW178,Sport Science (options),399,424,399,424
39,40,CW188,Sport Rehabilitation and Athletic Therapy,454,473,454,473
40,41,CW208,Computer Games Development,281,338,281,338
41,42,CW238,Software Development,300,343,300,343
42,43,CW248,Information Technology Management,307,357,307,357
43,44,CW258,Cybercrime and IT Security,300,328,300,328
44,45,CW268,Computing in Interactive Digital Art and Design,274,321,274,321
45,46,CW438,Construction (options),271,308,271,308
46,47,CW468,Architectural Technology,252,290,252,290
47,48,CW478,Civil Engineering,348,383,348,383
48,49,CW548,Mechanical Engineering,310,351,310,351
49,50,CW558,Electronic Systems,279,338,279,338
50,51,CW568,Aerospace Engineering,366,422,366,422
51,52,CW578,TV and Media Production,327,361,327,361
52,53,CW708,Law - LLB,298,328,298,328
53,54,CW728,Product Design Innovation,286,355,286,355
54,55,CW748,Early Childhood Education and Care,265,338,265,338
55,56,CW758,Applied Social Studies - Professional Social Care,290,319,290,319
56,57,CW808,Media and Public Relations,248,307,248,307
57,58,CW848,Digital Marketing with Analytics,279,307,279,307
58,59,CW858,"Sports Management and Coaching (options, portfolio)",#700,700,#700,700
59,60,CW908,Business (options),260,307,260,307
60,61,CW938,Business with Law,270,288,270,288
61,62,CW948,Accounting,301,408,301,408
63,64,PC405,"Social, Political and Community Studies",251,296,251,296
64,65,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289,203,289
65,66,PC411,English and History (fulfils Teaching Council requirements),168,289,168,289
67,68,CR105,Chemical and Biopharmaceutical Engineering,432,498,432,498
68,69,CR106,Software Development,351,393,351,393
69,70,CR108,Mechanical Engineering,425,487,425,487
70,71,CR109,Structural Engineering,341,467,341,467
71,72,CR110,Automotive Business Management and Technology,318,347,318,347
72,73,CR112,Creative Digital Media,335,389,335,389
73,74,CR116,Computer Systems,318,381,318,381
74,75,CR121,Music at CIT Cork School of Music,#633,1052,#633,1052
75,76,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021,#972,1021
76,77,CR126,Popular Music: Drums at CIT Cork School of Music,#878,1043,#878,1043
77,78,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761,#584,761
78,79,CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,1009,#839,1009
79,80,CR129,Popular Music: Voice at CIT Cork School of Music,#857,927,#857,927
80,81,CR130,Musical Theatre,#500,600,#500,600
81,82,CR150,Business Information Systems,326,371,326,371
82,83,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979,#979,979
83,84,CR220,Fine Art at CIT Crawford College of Art and Design,#620,819,#620,819
84,85,CR225,Photography with New Media,#920,920,#920,920
85,86,CR305,Physical Sciences (Common Entry),279,309,279,309
86,87,CR310,IT Management,282,317,282,317
87,88,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556,546,556
88,89,CR325,Pharmaceutical Biotechnology,388,422,388,422
89,90,CR333,Nutrition and Health Science,360,393,360,393
90,91,CR335,Biological Sciences (Common Entry),381,419,381,419
91,92,CR340,Analytical Chemistry with Quality Assurance,288,315,288,315
92,93,CR360,Instrument Engineering,291,329,291,329
93,94,CR365,Environmental Science and Sustainable Technology,334,362,334,362
94,95,CR370,Agri-Biosciences,408,431,408,431
95,96,CR400,Accounting,316,389,316,389
96,97,CR420,Marketing,288,329,288,329
97,98,CR425,International Business with Language,300,392,300,392
98,99,CR500,Engineering (Common Entry),381,424,381,424
99,100,CR510,Sustainable Energy Engineering,319,343,319,343
100,101,CR520,Biomedical Engineering,434,477,434,477
101,102,CR560,Architectural Technology,288,332,288,332
102,103,CR565,Interior Architecture,336,390,336,390
103,104,CR570,Quantity Surveying,279,342,279,342
104,105,CR572,Construction Management,253,300,253,300
105,106,CR580,Electrical Engineering,344,374,344,374
106,107,CR590,Electronic Engineering,342,411,342,411
107,108,CR600,Visual Communications,#587,888,#587,888
108,109,CR660,Tourism Management,249,290,249,290
109,110,CR700,Theatre and Drama Studies at CIT Cork School of Music,#768,906,#768,906
111,112,CK101,Arts - 3 years,300,368,300,368
112,113,CK102,Social Science,391,431,391,431
113,114,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),#340,409,#340,409
114,115,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,442,397,442
115,116,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,388,326,388
116,117,CK108,Arts International - 4 years,429,466,429,466
117,118,CK109,English - 3 years or 4 years (International Pathway),347,423,347,423
118,119,CK110,World Languages,456,506,456,506
119,120,CK111,Early Years and Childhood Studies,398,429,398,429
120,121,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#324,470,#324,470
121,122,CK113,Criminology - 3 years or 4 years (International Pathway),408,430,408,430
122,123,CK114,Social Science (Youth and Community Work) - 3 years,#,,#,
123,124,CK115,Social Work - Mature Applicants only,#,,#,
124,125,CK116,Sports Studies and Physical Education,499,520,499,520
125,126,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361,307,361
126,127,CK120,Applied Psychology,506,532,506,532
127,128,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466,393,466
128,129,CK122,Government and Political Science,355,410,355,410
129,130,CK201,Commerce,465*,489,465*,489
130,131,CK202,Accounting,467,506,467,506
131,132,CK203,Business Information Systems,409,444,409,444
132,133,CK204,Finance,531,555,531,555
133,134,CK205,Commerce (International) with French,409,473,409,473
134,135,CK206,Commerce (International) with German,408,446,408,446
135,136,CK207,Commerce (International) with Italian,408,425,408,425
136,137,CK208,Commerce (International) with Hispanic Studies,431,455,431,455
137,138,CK209,Commerce (International) with Irish,509,528,509,528
138,139,CK211,Commerce (International) with Chinese Studies,398,420,398,420
139,140,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429,400,429
140,141,CK301,Law (Pathways) -  3 or 4 years,476,519,476,519
141,142,CK302,Law and French,453,531,453,531
142,143,CK304,Law and Irish,462,510,462,510
143,144,CK307,Law and Business,522,554,522,554
144,145,CK401,Computer Science,402,456,402,456
145,146,CK402,Biological and Chemical Sciences,498,520,498,520
146,147,CK404,"Biological, Earth and Environmental Sciences",412,451,412,451
147,148,CK405,Genetics,476,496,476,496
148,149,CK406,Chemical Sciences,457,488,457,488
149,150,CK407,Mathematical Sciences,531,578,531,578
150,151,CK408,Physics and Astrophysics,511,566,511,566
151,152,CK409,Industrial Physics (offered jointly by UCC and CIT),413,532,413,532
152,153,CK411,Data Science and Analytics,509,542,509,542
153,154,CK412,Agricultural Science,457,509,457,509
154,155,CK502,Food Marketing and Entrepreneurship,433,456,433,456
155,156,CK504,Nutritional Sciences,492,509,492,509
156,157,CK505,Food Science,444,477,444,477
157,158,CK506,International Development and Food Policy,367,410,367,410
158,159,CK600,Engineering,465,532,465,532
159,160,CK606,Architecture (offered jointly by UCC and CIT),465,496,465,496
160,161,CK701,Medicine (Undergraduate Entry - HPAT required),#729,740,#729,740
161,162,CK702,Dentistry,590,613,590,613
162,163,CK703,Pharmacy,577,589,577,589
163,164,CK704,Occupational Therapy,532*,554,532*,554
164,165,CK705,Speech and Language Therapy,509,529,509,529
165,166,CK706,Public Health Sciences,419,451,419,451
166,167,CK707,Medical and Health Sciences,510*,543,510*,543
167,168,CK710,General Nursing,440,466,440,466
168,169,CK712,Children`s and General Nursing (Integrated),499,520,499,520
169,170,CK720,Mental Health Nursing,398,429,398,429
170,171,CK730,Intellectual Disability Nursing,359,388,359,388
171,172,CK740,Midwifery,444,474,444,474
172,173,CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,59,#58*,59
174,175,AC120,International Business,234,269,234,269
175,176,AC137,Liberal Arts,252,275,252,275
177,178,CT125,Information Technology,235,280,235,280
179,180,CM001,Education - Primary Teaching,452*,462,452*,462
180,181,CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,440,#421,440
181,182,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,506,#491,506
182,183,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,569,#492,569
183,184,CM010,Education Studies,317,373,317,373
184,185,CM020,Early Childhood Education,336,363,336,363
186,187,DB500,Computing,242,320,242,320
187,188,DB501,Computing (Cloud Computing),326,329,326,329
188,189,DB502,Computing (Data Analytics and Big Data),269,269,269,269
189,190,DB503,Computing (Software Development),242,282,242,282
190,191,DB504,Computing (Web and Mobile Technology),227,269,227,269
191,192,DB510,Audio Production and Music Project Management,233,293,233,293
192,193,DB512,Business Studies,229,301,229,301
193,194,DB514,Business Studies (Law),269,337,269,337
194,195,DB515,Business Studies (Human Resource Management),225,288,225,288
195,196,DB516,Financial Services,328,336,328,336
196,197,DB517,Event Management,226,327,226,327
197,198,DB518,Marketing (Digital Media),210,289,210,289
198,199,DB521,Accounting and Finance,225,271,225,271
199,200,DB524,Business Information Systems,402,402,402,402
200,201,DB525,Marketing (Digital Media and Cloud Computing),284,309,284,309
201,202,DB526,Business Information Systems (Cloud Computing),253,288,253,288
202,203,DB527,Applied Social Care,235,288,235,288
203,204,DB531,Marketing,220,288,220,288
204,205,DB562,Psychology,208,310,208,310
205,206,DB566,Social Science,216,308,216,308
206,207,DB567,Film,192,295,192,295
207,208,DB568,Law,245,308,245,308
208,209,DB569,Business (Psychology),279,338,279,338
210,211,DC001,Education - Early Childhood Education,398,424,398,424
211,212,DC002,Education - Primary Teaching,462*,485,462*,485
212,213,DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,473,#433,473
213,214,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,,#357,
214,215,DC005,Education - Primary Teaching - Irish Sign Language,#316,316,#316,316
215,216,DC009,Arts (Joint Honours) - Humanities,347,408,347,408
216,217,DC010,Post Primary Teacher Education - Religious Education and English,386,413,386,413
217,218,DC011,Post Primary Teacher Education - Religious Education and History,352,389,352,389
218,219,DC012,Post Primary Teacher Education - Religious Education and Music,#367,415,#367,415
219,220,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,410,509
220,221,DC014,BA in Jazz and Contemporary Music Performance,#428,590,#428,590
221,222,DC110,Business Studies International,440,462,440,462
222,223,DC111,Business Studies,463,479,463,479
223,224,DC112,Global Business (France),495,510,495,510
224,225,DC113,Global Business (Germany),440,476,440,476
225,226,DC114,Global Business (Spain),501,543,501,543
226,227,DC115,Accounting and Finance,487,500,487,500
227,228,DC116,Global Business (USA),578,589,578,589
228,229,DC117,Aviation Management / Aviation Management with Pilot Studies,463,487,463,487
229,230,DC118,Gnó agus Gaeilge / Business and Irish,357,399,357,399
230,231,DC119,Global Business (Canada),566,577,566,577
231,232,DC120,Enterprise Computing,350,389,350,389
232,233,DC121,Computer Applications,370,418,370,418
233,234,DC123,Data Science,467,511,467,511
234,235,DC126,Actuarial Mathematics,520,543,520,543
235,236,DC127,Common Entry into Actuarial and Financial Mathematics,509,531,509,531
236,237,DC131,Communication Studies,400,441,400,441
237,238,DC132,Journalism,401,440,401,440
238,239,DC133,Multimedia,403,451,403,451
239,240,DC155,Applied Language and Translation Studies,371,430,371,430
240,241,DC161,Analytical Science,446,463,446,463
241,242,DC162,Chemical and Pharmaceutical Sciences,488,498,488,498
242,243,DC166,Environmental Science and Technology,412,442,412,442
243,244,DC167,Physics with Astronomy,434,477,434,477
244,245,DC168,Genetics and Cell Biology,489,500,489,500
245,246,DC171,Applied Physics,402,433,402,433
246,247,DC173,Physics with Biomedical Sciences,402,458,402,458
247,248,DC181,Biotechnology,476,488,476,488
248,249,DC190,Electronic and Computer Engineering (with choice of four majors),391,433,391,433
249,250,DC193,Mechatronic Engineering,404,445,404,445
250,251,DC195,Mechanical and Manufacturing Engineering,401,444,401,444
251,252,DC197,Biomedical Engineering,402,446,402,446
252,253,DC200,Common Entry into Engineering (Undenominated Entry),381,444,381,444
253,254,DC201,Common Entry into Science (Undenominated Entry),454,477,454,477
254,255,DC202,Sport Science and Health,467,476,467,476
255,256,DC203,Science Education,424,476,424,476
256,257,DC204,Athletic Therapy and Training,484,500,484,500
257,258,DC205,Physical Education with Biology,490,521,490,521
258,259,DC206,Physical Education with Mathematics,443,476,443,476
259,260,DC208,Psychology,509,521,509,521
260,261,DC209,Health and Society,419,440,419,440
261,262,DC215,General Nursing,414,443,414,443
262,263,DC216,Mental Health Nursing,368,389,368,389
263,264,DC217,Intellectual Disability Nursing,347,362,347,362
264,265,DC218,Children`s and General Nursing (Integrated),467,480,467,480
265,266,DC230,"Economics, Politics and Law",400,431,400,431
266,267,DC231,International Relations,387,445,387,445
267,268,DC232,Law and Society (BCL),453,487,453,487
268,269,DC235,Education and Training - Daytime Delivery Mode (full-time),307,327,307,327
269,270,DC238,Social Sciences and Cultural Innovation,358,388,358,388
270,271,DC240,"Marketing, Innovation and Technology",451,474,451,474
271,272,DC291,Arts (Joint Honours) - Media Studies,349,392,349,392
272,273,DC292,Arts (Joint Honours) - Law,356,388,356,388
273,274,DC293,Arts (Joint Honours) - International Languages,369,400,369,400
274,275,DC295,Arts (Joint Honours) - Politics,348,387,348,387
276,277,DT001,Product Design,433,464,433,464
277,278,DT028,Transport Operations and Technology,279,348,279,348
278,279,DT035,Electrical Services and Energy Management,293,340,293,340
279,280,DT066,Engineering (General Entry),400,457,400,457
280,281,DT101,Architecture (test and interview),#618,647,#618,647
281,282,DT106,Planning and Environmental Management,312,337,312,337
282,283,DT110,Property Economics (Valuation Surveying),367,424,367,424
283,284,DT111,Quantity Surveying and Construction Economics,391,421,391,421
284,285,DT112,Geographic Science,287,335,287,335
285,286,DT117,Construction Management,356,373,356,373
286,287,DT175,Architectural Technology,388,425,388,425
287,288,DT201,Science (General Entry),464,477,464,477
288,289,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,341,403
289,290,DT204,Biomedical Science,501,512,501,512
290,291,DT205,Mathematical Sciences,315,363,315,363
291,292,DT206,Biomedical and Molecular Diagnostics,473,487,473,487
292,293,DT211,Computer Science (Infrastructure),381,414,381,414
293,294,DT220,Industrial Mathematics,300,317,300,317
294,295,DT221,Physics with Energy and Environment,348,436,348,436
295,296,DT222,Physics Technology,321,371,321,371
296,297,DT223,Human Nutrition and Dietetics,553,566,553,566
297,298,DT224,Optometry,487,529,487,529
298,299,DT225,Public Health Nutrition,440,476,440,476
299,300,DT227,Science with Nanotechnology,312,361,312,361
300,301,DT228,Computer Science,451,466,451,466
301,302,DT229,Clinical Measurement Science,491,509,491,509
302,303,DT235,Physics with Medical Physics and Bioengineering,357,403,357,403
303,304,DT282,Computer Science (International),377,402,377,402
304,305,DT299,Chemical Sciences with Medicinal Chemistry,420,445,420,445
305,306,DT302,Business Analytics,325,403,325,403
306,307,DT304,E-Commerce in Retailing,341,388,341,388
307,308,DT321,Business and Law,462,478,462,478
308,309,DT341,Marketing,400,419,400,419
309,310,DT343,Retail and Services Management,301,332,301,332
310,311,DT354,Business Computing,322,341,322,341
311,312,DT358,Logistics and Supply Chain Management,300,359,300,359
312,313,DT365,Business and Management,440,456,440,456
313,314,DT366,Accounting and Finance,432,454,432,454
314,315,DT398,Human Resource Management,375,388,375,388
315,316,DT399,Economics and Finance,437,465,437,465
316,317,DT401,International Hospitality Management,300,337,300,337
317,318,DT405,Culinary Science,308,377,308,377
318,319,DT407,Culinary Arts,271,342,271,342
319,320,DT412,Tourism Marketing,284,322,284,322
320,321,DT413,Event Management,356,389,356,389
321,322,DT416,Culinary Entrepreneurship,275,339,275,339
322,323,DT420,Nutraceuticals in Health and Nutrition,392,432,392,432
323,324,DT421,Food Innovation,321,366,321,366
324,325,DT422,Pharmaceutical Healthcare,397,423,397,423
325,326,DT491,Environmental Health,343,380,343,380
326,327,DT501,Music,#383,520,#383,520
327,328,DT504,Film and Broadcasting,443,467,443,467
328,329,DT506,Commercial Modern Music,#468,835,#468,835
329,330,DT508,Game Design,403,454,403,454
330,331,DT517,Languages and English Studies,326,419,326,419
331,332,DT518,Languages and International Tourism,307,357,307,357
332,333,DT529,Drama (Performance),#371,519,#371,519
333,334,DT532,Law (LL.B.),422,441,422,441
334,335,DT533,Contemporary Visual Culture,#,,#,
335,336,DT544,Interior Design,#552,866,#552,866
336,337,DT545,Design - Visual Communication,#667,897,#667,897
337,338,DT546,Fine Art,#668,813,#668,813
338,339,DT555,International Business and Languages,353,399,353,399
339,340,DT559,Photography,#700,926,#700,926
340,341,DT571,Social Care,394,424,394,424
341,342,DT572,Early Childhood Education,385,403,385,403
342,343,DT582,Journalism,347,373,347,373
343,344,DT596,Print Media Technology and Management,252,311,252,311
344,345,DT597,Creative and Cultural Industries,280,369,280,369
346,347,DL821,"English, Media and Cultural Studies",211,317,211,317
347,348,DL822,Arts Management,209,319,209,319
348,349,DL823,Business Studies - Entrepreneurship and Management,260,316,260,316
349,350,DL825,Applied Psychology,349,413,349,413
350,351,DL826,Visual Communication Design,#736,989,#736,989
351,352,DL827,Art,#583,902,#583,902
352,353,DL828,"3D Design, Modelmaking and Digital Art",#691,866,#691,866
353,354,DL829,Design for Stage and Screen (Costume Design),#817,1021,#817,1021
354,355,DL830,Design for Stage and Screen (Makeup Design),#879,953,#879,953
355,356,DL831,Design for Stage and Screen (Production Design),#893,1073,#893,1073
356,357,DL832,Animation,#855,1055,#855,1055
357,358,DL833,Photography,#636,791,#636,791
358,359,DL834,Film and Television Production,#933,1011,#933,1011
359,360,DL835,Creative Media Technologies,237,289,237,289
360,361,DL836,Creative Computing,217,326,217,326
361,362,DL837,New Media Studies,290,349,290,349
362,363,DL838,Creative Music Production,#746,873,#746,873
364,365,GC200,Business Studies (Cork),269,359,269,359
365,366,GC201,Accounting and Finance (Cork),251,388,251,388
366,367,GC230,Computing Science (Cork),228,327,228,327
367,368,GC300,Business Studies (Limerick),251,302,251,302
368,369,GC301,Accounting and Finance,307,314,307,314
369,370,GC302,"Business Studies - (HRM, Limerick)",269,269,269,269
370,371,GC305,International Hospitality Management (Limerick),327,327,327,327
371,372,GC400,Business Studies (Dublin),246,297,246,297
372,373,GC401,Accounting and Finance (Dublin),181,309,181,309
373,374,GC402,"Business Studies (HRM, Dublin)",217,290,217,290
