,Course Code,INSTITUTION and COURSE,pointsR1,pointsR2,Round_1_Points,Round_2_Points
0,AL605,Music and Instrument Technology,211,,211,
1,AL630,Pharmacy Technician,308,,308,
2,AL631,Dental Nursing,311,,311,
3,AL632,Applied Science,297,,297,
4,AL650,Business,AQA,AQA,,
5,AL660,Culinary Arts,AQA,AQA,,
6,AL661,Bar Supervision,AQA,,,
7,AL663,Business (Sport and Recreation),AQA,AQA,,
8,AL701,Computer Engineering for Network Infrastructure,207,,207,
9,AL702,Software Design in Artificial Intelligence for Clo,220,,220,
10,AL703,Software Design for Virtual Reality and Gaming,211,,211,
11,AL704,Computer Engineering,210,,210,
12,AL705,Software Design for Mobile Apps and Connected Devi,250,,250,
13,AL710,Mechanical Engineering,243,,243,
14,AL711,Mechanical Engineering and Renewable Energy,238,,238,
15,AL712,Automation and Robotics,247,,247,
16,AL713,Engineering (Common Entry to Automation and Roboti,226,,226,
17,AL718,Music and Sound Engineering,242,,242,
18,AL721,Civil Engineering,242,,242,
19,AL730,Biotechnology,261,,261,
20,AL731,Veterinary Nursing,421,,421,
21,AL734,Pharmaceutical Sciences (Drug Development and Anal,244,,244,
22,AL740,Exercise and Health Science,251,,251,
23,AL751,Digital Marketing,241,,241,
24,AL752,Business,223,,223,
25,AL761,Hotel and Leisure Management,AQA,AQA,,
26,AL763,Graphic Design (portfolio),#642,,642,
27,AL764,Early Years Care and Education,260,,260,
28,AL765,Applied Social Studies in Social Care,300,,300,
29,CW006,Business,171,157,171,157
30,CW027,Sustainable Farm Management and Agribusiness,236,222,236,222
31,CW037,Business (options),279,,279,
32,CW047,Visual Communications and Design,241,,241,
33,CW057,Art (portfolio),#700,,700,
34,CW077,Tourism and Event Management,223,,223,
35,CW106,Physiology and Health Science,451,,451,
36,CW107,Analytical Science,261,,261,
37,CW116,Pharmacy Technician Studies,224,,224,
38,CW117,Biosciences,215,,215,
39,CW126,Science - Applied Biology or Applied Chemistry,251,,251,
40,CW206,Computing - Applications or Programming,236,,236,
41,CW207,Software Development,245,,245,
42,CW217,Information Technology Management,269,,269,
43,CW227,Cybercrime and IT Security,220,,220,
44,CW237,Computing in Interactive Digital Art and Design,227,,227,
45,CW407,Architectural Technology,234,,234,
46,CW417,Construction Management with Building Services,225,205,225,205
47,CW427,Civil Engineering,208,,208,
48,CW507,Aircraft Systems,293,,293,
49,CW517,Mechanical Engineering,290,280,290,280
50,CW527,Electronic Engineering,226,,226,
51,CW547,TV and Media Production,303,,303,
52,CW706,Legal Studies,174,,174,
53,CW707,Industrial Design,241,,241,
54,CW717,Professional Social Care Practice,271,262,271,262
55,CW807,Sport Coaching and Business Management - GAA (port,#700,,700,
56,CW817,Sport Coaching and Business Management - Rugby (po,#700,,700,
57,CW827,Sport Coaching and Business Management - Soccer (p,#700,,700,
