Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
AL605,Music and Instrument Technology,211.0,,,,154.0,,
AL630,Pharmacy Technician,308.0,,295.0,,295.0,306.0,306.0
AL631,Dental Nursing,311.0,,300.0,298.0,298.0,326.0,307.0
AL632,Applied Science,297.0,,234.0,,234.0,243.0,216.0
AL650,Business,,,207.0,,207.0,210.0,200.0
AL660,Culinary Arts,,,,,112.0,,
AL661,Bar Supervision,,,,,101.0,,150.0
AL663,Business (Sport and Recreation),,,,,120.0,,181.0
AL701,Computer Engineering for Network Infrastructure,207.0,,216.0,,216.0,235.0,210.0
AL702,Software Design in Artificial Intelligence for Clo,220.0,,214.0,,214.0,,
AL703,Software Design for Virtual Reality and Gaming,211.0,,216.0,,224.0,,
AL704,Computer Engineering,210.0,,204.0,,204.0,205.0,205.0
AL705,Software Design for Mobile Apps and Connected Devi,250.0,,216.0,,216.0,206.0,207.0
AL710,Mechanical Engineering,243.0,,223.0,,223.0,242.0,218.0
AL711,Mechanical Engineering and Renewable Energy,238.0,,228.0,,228.0,231.0,252.0
AL712,Automation and Robotics,247.0,,252.0,,252.0,269.0,283.0
AL713,Engineering (Common Entry to Automation and Roboti,226.0,,218.0,,218.0,245.0,223.0
AL718,Music and Sound Engineering,242.0,,214.0,,216.0,,
AL721,Civil Engineering,242.0,,233.0,,233.0,217.0,245.0
AL730,Biotechnology,261.0,,250.0,,250.0,232.0,206.0
AL731,Veterinary Nursing,421.0,,400.0,,400.0,393.0,398.0
AL734,Pharmaceutical Sciences (Drug Development and Anal,244.0,,244.0,,244.0,225.0,214.0
AL740,Exercise and Health Science,251.0,,250.0,,250.0,241.0,
AL751,Digital Marketing,241.0,,241.0,,241.0,226.0,222.0
AL752,Business,223.0,,225.0,,225.0,232.0,
AL761,Hotel and Leisure Management,,,208.0,,208.0,200.0,208.0
AL763,Graphic Design (portfolio),642.0,,781.0,,781.0,626.0,783.0
AL764,Early Years Care and Education,260.0,,260.0,,260.0,270.0,270.0
AL765,Applied Social Studies in Social Care,300.0,,280.0,,280.0,281.0,278.0
CW006,Business,171.0,157.0,,,,153.0,129.0
CW027,Sustainable Farm Management and Agribusiness,236.0,222.0,266.0,,268.0,226.0,222.0
CW037,Business (options),279.0,,195.0,,195.0,349.0,195.0
CW047,Visual Communications and Design,241.0,,214.0,181.0,181.0,198.0,198.0
CW057,Art (portfolio),700.0,,700.0,,700.0,700.0,700.0
CW077,Tourism and Event Management,223.0,,217.0,,217.0,204.0,
CW106,Physiology and Health Science,451.0,,451.0,,451.0,454.0,454.0
CW107,Analytical Science,261.0,,277.0,,277.0,215.0,213.0
CW116,Pharmacy Technician Studies,224.0,,250.0,,250.0,241.0,287.0
CW117,Biosciences,215.0,,205.0,,205.0,205.0,214.0
CW126,Science - Applied Biology or Applied Chemistry,251.0,,191.0,,191.0,198.0,198.0
CW206,Computing - Applications or Programming,236.0,,235.0,,235.0,206.0,200.0
CW207,Software Development,245.0,,244.0,,244.0,235.0,251.0
CW217,Information Technology Management,269.0,,234.0,,234.0,234.0,234.0
CW227,Cybercrime and IT Security,220.0,,233.0,,242.0,233.0,251.0
CW237,Computing in Interactive Digital Art and Design,227.0,,212.0,,212.0,216.0,
CW407,Architectural Technology,234.0,,188.0,,188.0,186.0,186.0
CW417,Construction Management with Building Services,225.0,205.0,220.0,,220.0,215.0,226.0
CW427,Civil Engineering,208.0,,199.0,,199.0,201.0,200.0
CW507,Aircraft Systems,293.0,,293.0,,294.0,285.0,281.0
