Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
AL605,Music and Instrument Technology,211,,211,319.0,AQA,AQA,154,306.0,,,,
AL630,Pharmacy Technician,308,,308,409.0,295,,295,379.0,306,366,306,388
AL631,Dental Nursing,311,,311,400.0,300,298,298,388.0,326,379,307,348
AL632,Applied Science,297,,297,454.0,234,,234,434.0,243,372,216,444
AL650,Business,AQA,AQA,AQA,351.0,207,,207,326.0,210,317,200,357
AL660,Culinary Arts,AQA,AQA,AQA,271.0,AQA,AQA,112,270.0,AQA,216,AQA,208
AL661,Bar Supervision,AQA,,153,279.0,AQA,AQA,101,241.0,AQA,216,150,213
AL663,Business (Sport and Recreation),AQA,AQA,AQA,311.0,AQA,AQA,120,262.0,AQA,270,181,265
AL701,Computer Engineering for Network Infrastructure,207,,207,382.0,216,,216,337.0,235,310,210,366
AL702,Software Design in Artificial Intelligence for Cloud Computing,220,,220,381.0,214,,214,338.0,,,,
AL703,Software Design for Virtual Reality and Gaming,211,,211,349.0,216,,224,337.0,,,,
AL704,Computer Engineering,210,,210,368.0,204,,204,403.0,205,307,205,319
AL705,Software Design for Mobile Apps and Connected Devices,250,,250,323.0,216,,216,337.0,206,321,207,308
AL710,Mechanical Engineering,243,,243,340.0,223,,223,337.0,242,337,218,308
AL711,Mechanical Engineering and Renewable Energy,238,,238,389.0,228,,228,369.0,231,310,252,358
AL712,Automation and Robotics,247,,247,434.0,252,,252,379.0,269,364,283,386
AL713,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),226,,226,387.0,218,,218,402.0,245,371,223,388
AL718,Music and Sound Engineering,242,,242,363.0,214,,216,339.0,,,,
AL721,Civil Engineering,242,,242,409.0,233,,233,357.0,217,368,245,328
AL730,Biotechnology,261,,261,444.0,250,,250,402.0,232,382,206,357
AL731,Veterinary Nursing,421,,421,498.0,400,,400,456.0,393,451,398,442
AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,,244,403.0,244,,244,359.0,225,389,214,336
AL740,Exercise and Health Science,251,,251,418.0,250,,250,367.0,241,348,,
AL751,Digital Marketing,241,,241,398.0,241,,241,318.0,226,336,222,321
AL752,Business,223,,223,412.0,225,,225,397.0,232,387,,
AL761,Hotel and Leisure Management,AQA,AQA,AQA,306.0,208,,208,309.0,200,304,208,317
AL763,Graphic Design (portfolio),642,,642,811.0,781,,781,858.0,626,820,783,842
AL764,Early Years Care and Education,260,,260,408.0,260,,260,398.0,270,387,270,370
AL765,Applied Social Studies in Social Care,300,,300,386.0,280,,280,358.0,281,346,278,347
CW006,Business,171,157,157,281.0,AQA,AQA,AQA,254.0,153,270,129,298
CW027,Sustainable Farm Management and Agribusiness,236,222,222,342.0,266,,268,360.0,226,302,222,328
CW037,Business (options),279,,279,429.0,195,,195,400.0,349,387,195,311
CW047,Visual Communications and Design,241,,270,372.0,214,181,181,336.0,198,311,198,339
CW057,Art (portfolio),700,,700,700.0,700,,700,700.0,700,700,700,700
CW077,Tourism and Event Management,223,,223,398.0,217,,217,311.0,204,259,,
CW087,Creative Computing and Digital Innovation,,,,0.0,,,,,,,,
CW106,Physiology and Health Science,451,,451,528.0,451,,451,509.0,454,499,454,495
CW107,Analytical Science,261,,261,466.0,277,,277,445.0,215,316,213,348
CW116,Pharmacy Technician Studies,224,,224,376.0,250,,250,388.0,241,351,287,380
CW117,Biosciences,215,,215,445.0,205,,205,380.0,205,351,214,336
CW126,Science - Applied Biology or Applied Chemistry,251,,251,408.0,191,,191,424.0,198,380.0,198,379.0
CW206,Computing - Applications or Programming,236,,236,299.0,235,,235,369.0,206,337.0,200,251.0
CW207,Software Development,245,,245,395.0,244,,244,329.0,235,300.0,251,337.0
CW217,Information Technology Management,269,,269,368.0,234,,234,377.0,234,311.0,234,347.0
CW227,Cybercrime and IT Security,220,,220,360.0,233,,242,357.0,233,317.0,251,309.0
CW237,Computing in Interactive Digital Art and Design,227,,227,378.0,212,,212,337.0,216,321.0,,
CW407,Architectural Technology,234,,234,369.0,188,,188,358.0,186,298.0,186,309.0
CW417,Construction Management with Building Services,225,205,205,361.0,220,,220,322.0,215,311.0,226,289.0
CW427,Civil Engineering,208,,208,346.0,199,,199,347.0,201,298.0,200,331.0
CW507,Aircraft Systems,293,,293,408.0,293,,294,399.0,285,358.0,281,349.0
CW517,Mechanical Engineering,290,280,280,400.0,276,,276,371.0,252,336.0,264,350.0
CW527,Electronic Engineering,226,,226,371.0,227,,227,357.0,225,338.0,217,298.0
CW547,TV and Media Production,303,,303,382.0,301,,301,413.0,306,370.0,326,379.0
CW706,Legal Studies,174,,174,357.0,163,,163,377.0,196,331.0,202,339.0
CW707,Industrial Design,241,,241,478.0,207,,207,380.0,199,313.0,207,364.0
CW717,Professional Social Care Practice,271,262,262,360.0,288,,288,347.0,260,308.0,240,316.0
CW807,Sport Coaching and Business Management - GAA (portfolio),700,,700,700.0,700,,700,700.0,700,700.0,700,700.0
CW817,Sport Coaching and Business Management - Rugby (portfolio),700,,700,700.0,700,,700,700.0,700,700.0,700,700.0
CW827,Sport Coaching and Business Management - Soccer (portfolio),700,,700,700.0,700,,700,700.0,700,700.0,700,700.0
CW837,Digital Marketing with Analytics,215,,215,349.0,200,,200,356.0,240,308.0,,
CW906,Business,164,,164,309.0,177,,177,297.0,173,288.0,171,206.0
CW917,Business (options),228,,228,387.0,224,,224,378.0,200,317.0,208,332.0
CW926,Business with Law,204,,204,440.0,210,,210,409.0,204,368.0,208,339.0
CW936,Accounting,207,,207,442.0,231,,231,403.0,204,414.0,207,367.0
PC402,Arts and Humanities,203,113,113,418.0,200,121,80,368.0,126,328.0,AQA,318.0
PC404,Applied Social Studies - Professional Social Care,200,100,100,270.0,217,197,175,269.0,AQA,245.0,AQA,227.0
CR001,Applied Physics and Instrumentation,292,,292,498.0,250,,250,487.0,258,488.0,297,413.0
CR006,Applied Biosciences,420,,420,521.0,361,,361,489.0,380,467.0,360,462.0
CR007,Analytical and Pharmaceutical Chemistry,272,,272,531.0,240,,240,487.0,246,455.0,292,488.0
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,336,,336,453.0,321,,321,422.0,270,368.0,289,389.0
CR016,Software Development,351,,351,445.0,307,,307,413.0,270,393.0,270,362.0
CR021,Business (Common Entry),253,,253,451.0,255,,255,433.0,250,397.0,240,402.0
CR022,Business Administration,172,,172,348.0,190,,190,336.0,206,262.0,192,299.0
CR031,Social Care Work,360,,360,440.0,346,,346,411.0,326,389.0,326,392.0
CR032,Recreation and Leisure Management,343,,343,422.0,298,,298,378.0,250,349.0,260,349.0
CR035,Community Development,133,,133,337.0,100,,100,251.0,162,271.0,117,215.0
CR041,Tourism Management,212,180,180,343.0,216,,216,399.0,180,318.0,185,311.0
CR042,Hospitality Management,205,,205,356.0,208,,208,316.0,101,307.0,182,284.0
CR046,Automotive Technology and Management,227,,227,368.0,216,,216,337.0,214,263.0,200,260.0
CR051,Civil Engineering,261,,259,431.0,248,,248,451.0,244,403.0,226,410.0
CR052,Construction,270,,270,368.0,251,,251,367.0,232,311.0,225,309.0
CR053,Interior Architecture,375,,375,463.0,308,,308,434.0,253,367.0,252,378.0
CR055,Environmental Engineering,297,,297,476.0,258,,258,409.0,255,424.0,226,389.0
CR061,Electronic Engineering,300,,300,465.0,260,,260,444.0,308,520.0,251,421.0
CR062,Electrical Engineering,320,,320,413.0,300,,300,401.0,279,356.0,250,343.0
CR071,Mechanical Engineering,263,,263,475.0,261,,261,444.0,250,410.0,270,424.0
CR075,Biomedical Engineering,315,,315,509.0,306,,306,498.0,350,490.0,312,476.0
CR090,Architectural Technology,308,,308,475.0,266,,266,411.0,251,419.0,244,404.0
CR094,Nautical Science at National Maritime College of Ireland,256,,256,404.0,243,,243,380.0,237,377.0,257,387.0
CR095,Marine Engineering at National Maritime College of Ireland,234,,234,441.0,255,,255,389.0,224,339.0,241,339.0
CR300,Physical Sciences (Common Entry),260,,260,565.0,282,,282,476.0,270,509.0,300,498.0
CR620,Early Childhood Education and Care,397,377,336,466.0,365,357,357,454.0,337,419.0,341,418.0
CR640,Culinary Arts,220,178,174,399.0,244,,244,392.0,125,309.0,197,318.0
CR650,Beverage Industry Management,193,162,162,367.0,209,,209,316.0,182,300.0,120,262.0
CR655,Culinary Studies,196,113,113,320.0,189,,189,290.0,116,281.0,139,272.0
CR657,Hospitality Studies,171,,171,261.0,180,163,163,198.0,162,236.0,154,208.0
CR805,Marine Electrotechnology at National Maritime College of Ireland,229,,229,445.0,235,,235,326.0,217,328.0,244,340.0
CR888,Information Technology,300,,300,391.0,290,,290,372.0,271,356.0,280,372.0
DS602,Higher Certificate in Science in Computing Level 6 (2 years),120,,273,403.0,,,198,367.0,225,233.0,AQA,92.0
DS701,Bachelor of Business Level 7 (3 years),136,,136,316.0,,,299,299.0,AQA,,120,298.0
DS702,BSc in Computing Level 7 (3 years),136,,136,309.0,,,290,413.0,102,365.0,200,282.0
DB528,Applied Social Care,146,104,104,321.0,AQA,AQA,AQA,337.0,AQA,307.0,129,278.0
DB534,Sound Engineering and Music Production,139,139,139,357.0,AQA,AQA,AQA,338.0,179,309.0,164,351.0
DB563,Arts,143,143,137,414.0,161,189,161,357.0,128,318.0,136,327.0
DB571,Business Studies,113,113,113,462.0,173,211,122,398.0,134,371.0,146,358.0
DB572,Business (Accounting),141,141,141,464.0,119,117,117,368.0,AQA,403.0,117,412.0
DB573,Business (Marketing),169,137,137,367.0,117,146,117,388.0,127,291.0,135,294.0
DB574,Business (Information Technology),173,173,173,339.0,136,388,136,388.0,AQA,367.0,144,429.0
DB576,Film and Creative Media,101,101,101,399.0,AQA,AQA,AQA,338.0,100,318.0,AQA,298.0
DL701,Business - Applied Entrepreneurship,162,162,189,339.0,AQA,AQA,AQA,359.0,154,299.0,112,268.0
GC335,Computing,171,171,171,278.0,217,195,195,235.0,213,260.0,207,296.0
GC410,Marketing,122,122,122,337.0,145,,145,371.0,204,357.0,135,290.0
GC411,Business,180,180,180,378.0,135,135,135,370.0,AQA,349.0,155,281.0
GC435,Computing,108,108,108,349.0,AQA,AQA,96,279.0,101,269.0,144,275.0
GC460,Music Production for Games (portfolio),,,,0.0,,,,,,,,
GC465,Communications,118,118,118,395.0,AQA,,AQA,349.0,144,367.0,136,357.0
GC466,Film and TV Production,121,121,121,418.0,AQA,AQA,AQA,339.0,100,308.0,AQA,320.0
GC470,Photographic Media,163,163,163,352.0,169,169,169,279.0,117,279.0,AQA,349.0
GC475,Photography,125,125,125,343.0,150,150,150,348.0,128,289.0,127,231.0
GC490,Interior Design,137,137,137,359.0,117,117,117,360.0,127,309.0,127,321.0
GC495,Fashion,110,110,110,398.0,129,129,129,349.0,136,338.0,155,348.0
BY002,Business,347,171,171,347.0,,,,,,,,
NC102,Computing,225,,225,366.0,220,,220,342.0,220,307.0,234,307.0
NC103,Business,252,,252,372.0,250,,250,327.0,251,308.0,270,317.0
NC104,Business Computing,242,,242,390.0,243,,243,423.0,233,320.0,233,298.0
NM701,Montessori Education,137,137,137,387.0,187,,187,407.0,143,357.0,108,358.0
TU605,Electronic and Information Engineering,190,,190,339.0,,,,,,,,
TU606,Mechanical Engineering (General Entry),192,,192,359.0,,,,,,,,
TU641,Bar and Restaurant Management,243,,243,366.0,223,,223,356.0,,,,
TU642,Culinary Arts (Cuisine and Wellness),154,,AQA,330.0,153,,153,244.0,,,,
TU643,Culinary Arts (Professional Cookery Practice),242,,242,418.0,236,,236,383.0,,,,
TU644,Food Management and Entrepreneurship,250,,250,451.0,223,,223,456.0,,,,
TU645,Food Science and Management,251,,251,473.0,241,,243,390.0,,,,
TU651,Applied Biology,361,,361,474.0,205,196,196,359.0,,,,
TU652,Computing,240,,240,391.0,194,,194,265.0,,,,
TU654,Pharmacy Technician Studies,350,,338,452.0,321,,321,420.0,,,,
TU655,Computing (Networking Technologies) Learn and Work,502,,502,551.0,410,335,335,459.0,,,,
TU670,Business (campus options),224,,224,378.0,,,,,,,,
TU673,Business Management,301,,301,495.0,300,,300,451.0,,,,
TU674,Business Studies,307,,307,484.0,300,,306,451.0,,,,
TU675,Marketing,301,,301,431.0,301,,301,412.0,,,,
TU676,Retail Management and Marketing,290,,290,386.0,290,,290,377.0,,,,
TU701,Automation Engineering,243,,243,346.0,260,,261,368.0,,,,
TU702,Sustainable Energy and Environmental Engineering,249,,249,444.0,232,232,232,351.0,,,,
TU703,Building Engineering,273,,273,381.0,260,,260,359.0,,,,
TU704,Civil Engineering,260,,260,378.0,262,,262,361.0,,,,
