Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
AL605,Music and Instrument Technology,211.0,319.0,154.0,306.0,,,,
AL630,Pharmacy Technician,308.0,409.0,295.0,379.0,306.0,366.0,306.0,388.0
AL631,Dental Nursing,311.0,400.0,298.0,388.0,326.0,379.0,307.0,348.0
AL632,Applied Science,297.0,454.0,234.0,434.0,243.0,372.0,216.0,444.0
AL650,Business,221.0,351.0,207.0,326.0,210.0,317.0,200.0,357.0
AL660,Culinary Arts,141.0,271.0,112.0,270.0,86.0,216.0,78.0,208.0
AL661,Bar Supervision,153.0,279.0,101.0,241.0,86.0,216.0,150.0,213.0
AL663,Business (Sport and Recreation),181.0,311.0,120.0,262.0,140.0,270.0,181.0,265.0
AL701,Computer Engineering for Network Infrastructure,207.0,382.0,216.0,337.0,235.0,310.0,210.0,366.0
AL702,Software Design in Artificial Intelligence for Cloud Computing,220.0,381.0,214.0,338.0,,,,
AL703,Software Design for Virtual Reality and Gaming,211.0,349.0,224.0,337.0,,,,
AL704,Computer Engineering,210.0,368.0,204.0,403.0,205.0,307.0,205.0,319.0
AL705,Software Design for Mobile Apps and Connected Devices,250.0,323.0,216.0,337.0,206.0,321.0,207.0,308.0
AL710,Mechanical Engineering,243.0,340.0,223.0,337.0,242.0,337.0,218.0,308.0
AL711,Mechanical Engineering and Renewable Energy,238.0,389.0,228.0,369.0,231.0,310.0,252.0,358.0
AL712,Automation and Robotics,247.0,434.0,252.0,379.0,269.0,364.0,283.0,386.0
AL713,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),226.0,387.0,218.0,402.0,245.0,371.0,223.0,388.0
AL718,Music and Sound Engineering,242.0,363.0,216.0,339.0,,,,
AL721,Civil Engineering,242.0,409.0,233.0,357.0,217.0,368.0,245.0,328.0
AL730,Biotechnology,261.0,444.0,250.0,402.0,232.0,382.0,206.0,357.0
AL731,Veterinary Nursing,421.0,498.0,400.0,456.0,393.0,451.0,398.0,442.0
AL734,Pharmaceutical Sciences (Drug Development and Analysis),244.0,403.0,244.0,359.0,225.0,389.0,214.0,336.0
AL740,Exercise and Health Science,251.0,418.0,250.0,367.0,241.0,348.0,,
AL751,Digital Marketing,241.0,398.0,241.0,318.0,226.0,336.0,222.0,321.0
