Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
AL801,Software Design for Virtual Reality and Gaming,300,,303,,303,304,295
AL802,Software Design in Artificial Intelligence for Clo,313,,332,,332,301,
AL803,Software Design for Mobile Apps and Connected Devi,350,,337,,337,309,
AL805,Computer Engineering for Network Infrastructure,321,,333,,333,329,
AL810,Quantity Surveying,328,,319,,326,307,300
AL811,Civil Engineering,,,320,,320,,
AL820,Mechanical and Polymer Engineering,327,,308,,308,300,299
AL830,General Nursing,451,444,442,,442,410,418
AL832,Mental Health Nursing,440,431,387,384,384,387,377
AL835,Pharmacology,356,,,,,,
AL836,Nutrition and Health Science,346,,334,,334,352,354
AL837,Sports Science with Exercise Physiology,357,,351,,351,351,346
AL838,Biotechnology,324,,307,,307,302,301
AL839,Microbiology,325,,325,,325,322,318
AL840,Pharmaceutical Sciences,346,,347,,347,328,312
AL841,Athletic and Rehabilitation Therapy,477,476,430,,430,423,402
AL842,Bioveterinary Science,338,,313,,313,310,304
AL843,Physical Activity and Health Science,306,,306,,306,310,317
AL849,Culinary Entrepreneurship,297,,,,,,
AL850,Business,309,,309,,309,307,308
AL851,Business and Law,302,,295,,295,301,300
AL852,Accounting,336,,309,,309,290,306
AL854,Sport Management (with international placement),300,299,302,299,299,,
AL855,Hospitality Management (with international placeme,309,,308,,308,312,310
AL857,Digital Marketing,304,,304,,304,300,
AL859,International Business,308,,,,,,
AL860,Social Care Practice,301,,300,,300,309,300
AL861,Animation and Illustration (portfolio),575,,578,,578,#615,#789
AL863,Graphic and Digital Design (portfolio),747,,781,,781,#703,
AL864,Early Years Care and Education,306,,307,,307,307,
AL870,Applied Psychology,484,467,418,,418,409,366
CW018,Business (options),307,,298,248,248,327,250
CW028,Early Childhood Education and Care,260,,252,,252,252,249
CW038,Art (portfolio),700,,700,,700,#700,#700
CW058,Tourism and Event Management,292,,298,,298,252,
CW068,Applied Social Studies in Professional Social Care,250,,245,,245,251,260
CW078,Sustainable Farm Management and Agribusiness,270,,269,,269,266,270
CW088,Visual Communications and Design,270,,274,,274,309,270
CW108,Science (options),266,,261,,261,261,276
CW128,Brewing and Distilling,307,,263,,263,271,
CW138,Sport and Exercise Science,430,423,423,,423,,
CW148,Strength and Conditioning,388,,379,,379,,
CW188,Sport Rehabilitation and Athletic Therapy,451,,451,448,448,454,440
CW208,Computer Games Development,272,,279,,279,281,280
CW238,Software Development,295,,297,,297,300,298
CW248,Information Technology Management,293,,285,,285,307,288
CW258,Cybercrime and IT Security,292,,293,,293,300,290
CW268,Computing in Interactive Digital Art and Design,291,,287,,287,274,
CW438,Construction (options),260,251,272,,272,271,263
CW468,Architectural Technology,291,283,262,,262,252,260
CW478,Civil Engineering,465,,433,,433,348,331
CW548,Mechanical Engineering,330,328,321,,321,310,323
CW558,Electronic Systems,280,,280,,280,279,262
CW568,Aerospace Engineering,371,359,380,,380,366,368
CW578,TV and Media Production,318,,325,,325,327,360
CW708,Law - LLB,292,,302,,302,298,298
CW728,Product Design Innovation,246,,252,,252,286,252
CW748,Early Childhood Education and Care,290,,270,,270,265,275
CW758,Professional Social Care Practice,360,358,336,,336,290,270
CW808,Media and Public Relations,247,,251,,251,248,252
CW848,Digital Marketing with Analytics,269,,254,,269,279,
CW858,Sports Management and Coaching (options  portfolio,700,,700,,700,#700,#700
CW908,Business (options),272,,280,,280,260,270
CW938,Business with Law,270,,283,,283,270,281
CW948,Accounting,319,,300,,300,301,307
PC405,Social  Political and Community Studies,263,235,253,216,216,251,227
PC410,Arts and Humanities (fulfils Teaching Council requ,262,230,252,209,209,203,219
PC411,English and History (fulfils Teaching Council requ,243,224,255,209,209,168,228
CR105,Chemical and Biopharmaceutical Engineering,443,,443,,443,432,444
CR106,Software Development,431,,411,,411,351,350
CR108,Mechanical Engineering,434,,434,,434,425,416
CR109,Structural Engineering,396,,394,,394,341,366
CR110,Automotive Business Management and Technology,336,,311,,311,318,
CR112,Creative Digital Media at CIT Crawford College of,390,,361,,361,335,336
CR116,Computer Systems,365,,332,,332,318,316
CR121,Music at CIT Cork School of Music,904,904,868,,912,#633,#628
CR125,Popular Music at CIT Cork School of Music,1028,,1088,,1088,#972,#836
CR130,Musical Theatre at CIT Cork School of Music,525,,548,518,505,#500,
CR150,Business Information Systems,350,,335,,335,326,316
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,,#+matric,,#+matric,#979,#666
CR220,Fine Art at CIT Crawford College of Art and Design,400,,#+matric,,#+matric,#620,#565
CR225,Photography with New Media at CIT Crawford College,435,,#+matric,,#+matric,#920,
CR305,Physical Sciences (Common Entry),260,,282,,282,279,320
