Course Code,Course Title,points_r1_2021,points_r2_2021,EOS 2021,EOS Mid 2021,points_r1_2020,points_r2_2020,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
AL801,Software Design for Virtual Reality and Gaming,300.0,,300.0,359.0,303.0,,303.0,367.0,304.0,328.0,295.0,326.0
AL802,Software Design in Artificial Intelligence for Cloud Computing,313.0,,313.0,381.0,332.0,,332.0,382.0,301.0,306.0,,
AL803,Software Design for Mobile Apps and Connected Devices,350.0,,350.0,398.0,337.0,,337.0,360.0,309.0,337.0,,
AL805,Computer Engineering for Network Infrastructure,321.0,,321.0,381.0,333.0,,333.0,360.0,329.0,442.0,,
AL810,Quantity Surveying,328.0,,328.0,377.0,319.0,,326.0,352.0,307.0,349.0,300.0,340.0
AL811,Civil Engineering,,,,0.0,320.0,,320.0,432.0,,,,
AL820,Mechanical and Polymer Engineering,327.0,,327.0,398.0,308.0,,308.0,379.0,300.0,358.0,299.0,371.0
AL830,General Nursing,451.0,444.0,440.0,455.0,442.0,,442.0,463.0,410.0,429.0,418.0,440.0
AL832,Mental Health Nursing,440.0,431.0,431.0,451.0,387.0,384.0,384.0,399.0,387.0,403.0,377.0,388.0
AL835,Pharmacology,356.0,,356.0,429.0,,,,,,,,
AL836,Nutrition and Health Science,346.0,,346.0,398.0,334.0,,334.0,379.0,352.0,383.0,354.0,389.0
AL837,Sports Science with Exercise Physiology,357.0,,357.0,409.0,351.0,,351.0,384.0,351.0,392.0,346.0,369.0
AL838,Biotechnology,324.0,,324.0,434.0,307.0,,307.0,356.0,302.0,372.0,301.0,338.0
AL839,Microbiology,325.0,,325.0,408.0,325.0,,325.0,393.0,322.0,371.0,318.0,380.0
AL840,Pharmaceutical Sciences,346.0,,346.0,402.0,347.0,,347.0,403.0,328.0,411.0,312.0,388.0
AL841,Athletic and Rehabilitation Therapy,477.0,476.0,462.0,489.0,430.0,,430.0,465.0,423.0,430.0,402.0,431.0
AL842,Bioveterinary Science,338.0,,338.0,413.0,313.0,,313.0,383.0,310.0,366.0,304.0,367.0
AL843,Physical Activity and Health Science,306.0,,306.0,358.0,306.0,,306.0,326.0,310.0,330.0,317.0,337.0
AL849,Culinary Entrepreneurship,297.0,,297.0,327.0,,,,,,,,
AL850,Business,309.0,,309.0,369.0,309.0,,309.0,377.0,307.0,356.0,308.0,359.0
AL851,Business and Law,302.0,,302.0,357.0,295.0,,295.0,351.0,301.0,341.0,300.0,359.0
AL852,Accounting,336.0,,336.0,466.0,309.0,,309.0,422.0,290.0,346.0,306.0,366.0
AL854,Sport Management (with international placement),300.0,299.0,299.0,349.0,302.0,299.0,299.0,338.0,,,,
AL855,Hospitality Management (with international placement),309.0,,309.0,378.0,308.0,,308.0,347.0,312.0,357.0,310.0,337.0
AL857,Digital Marketing,304.0,,304.0,398.0,304.0,,304.0,332.0,300.0,360.0,,
AL859,International Business,308.0,,308.0,371.0,,,,,,,,
AL860,Social Care Practice,301.0,,301.0,359.0,300.0,,300.0,348.0,309.0,338.0,300.0,338.0
AL861,Animation and Illustration (portfolio),575.0,,575.0,760.0,578.0,,578.0,878.0,615.0,899.0,789.0,948.0
AL863,Graphic and Digital Design (portfolio),747.0,,747.0,808.0,781.0,,781.0,824.0,703.0,898.0,,
AL864,Early Years Care and Education,306.0,,306.0,366.0,307.0,,307.0,346.0,307.0,348.0,,
AL870,Applied Psychology,484.0,467.0,452.0,480.0,418.0,,418.0,444.0,409.0,445.0,366.0,390.0
CW018,Business (options),307.0,,307.0,381.0,298.0,248.0,248.0,312.0,327.0,349.0,250.0,356.0
CW028,Early Childhood Education and Care,260.0,,260.0,378.0,252.0,,252.0,301.0,252.0,308.0,249.0,308.0
