Course Code,Course Title,EOS 2021,EOS Mid 2021,EOS 2020,EOS Mid 2020,EOS 2019,EOS Mid 2019,EOS 2018,EOS Mid 2018
AL801,Software Design for Virtual Reality and Gaming,300,359.0,303,367.0,304,328,295,326
AL802,Software Design in Artificial Intelligence for Cloud Computing,313,381.0,332,382.0,301,306,,
AL803,Software Design for Mobile Apps and Connected Devices,350,398.0,337,360.0,309,337,,
AL805,Computer Engineering for Network Infrastructure,321,381.0,333,360.0,329,442,,
AL810,Quantity Surveying,328,377.0,326,352.0,307,349,300,340
AL811,Civil Engineering,,0.0,320,432.0,,,,
AL820,Mechanical and Polymer Engineering,327,398.0,308,379.0,300,358,299,371
AL830,General Nursing,440,455.0,442,463.0,410,429,418,440
AL832,Mental Health Nursing,431,451.0,384,399.0,387,403,377,388
AL835,Pharmacology,356,429.0,,,,,,
AL836,Nutrition and Health Science,346,398.0,334,379.0,352,383,354,389
AL837,Sports Science with Exercise Physiology,357,409.0,351,384.0,351,392,346,369
AL838,Biotechnology,324,434.0,307,356.0,302,372,301,338
AL839,Microbiology,325,408.0,325,393.0,322,371,318,380
AL840,Pharmaceutical Sciences,346,402.0,347,403.0,328,411,312,388
AL841,Athletic and Rehabilitation Therapy,462,489.0,430,465.0,423,430,402,431
AL842,Bioveterinary Science,338,413.0,313,383.0,310,366,304,367
AL843,Physical Activity and Health Science,306,358.0,306,326.0,310,330,317,337
AL849,Culinary Entrepreneurship,297,327.0,,,,,,
AL850,Business,309,369.0,309,377.0,307,356,308,359
AL851,Business and Law,302,357.0,295,351.0,301,341,300,359
AL852,Accounting,336,466.0,309,422.0,290,346,306,366
AL854,Sport Management (with international placement),299,349.0,299,338.0,,,,
AL855,Hospitality Management (with international placement),309,378.0,308,347.0,312,357,310,337
AL857,Digital Marketing,304,398.0,304,332.0,300,360,,
AL859,International Business,308,371.0,,,,,,
AL860,Social Care Practice,301,359.0,300,348.0,309,338,300,338
AL861,Animation and Illustration (portfolio),575,760.0,578,878.0,615,899,789,948
AL863,Graphic and Digital Design (portfolio),747,808.0,781,824.0,703,898,,
AL864,Early Years Care and Education,306,366.0,307,346.0,307,348,,
AL870,Applied Psychology,452,480.0,418,444.0,409,445,366,390
CW018,Business (options),307,381.0,248,312.0,327,349,250,356
CW028,Early Childhood Education and Care,260,378.0,252,301.0,252,308,249,308
CW038,Art (portfolio),700,700.0,700,700.0,700,700,700,700
