,CATEGORY (i.e.ISCED description),INSTITUTION and COURSE,Course Code,pointsR1,R1 Random *,pointsR2,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Round_1_Points,Round_2_Points,EOS_Points
12,Information and Communication Technologies (ICTs),Software Design,AL600,AQA,,,,104,,279,6,Athlone Institute of Technology,,,,,,,,,,,,,,
13,Engineering and engineering trades,Computer Engineering,AL601,AQA,,219,,112,,192,6,Athlone Institute of Technology,,avp,v,,,,,,,,,,,
14,Engineering and engineering trades,Mechanical Engineering,AL602,AQA,,,,260,,424,6,Athlone Institute of Technology,,,,,,,,,,,,,,
15,Architecture and construction,Civil Engineering,AL604,AQA,,AQA,,AQA,,244,6,Athlone Institute of Technology,,,,,,,,,,,,,,
16,Engineering and engineering trades,Music and Instrument Technology,AL605,AQA,,AQA,,154,,306,6,Athlone Institute of Technology,,avp,,,,,,,,,,,,
17,Health,Pharmacy Technician,AL630,295,,,,295,,379,6,Athlone Institute of Technology,,,,,,,,,,,,,,
18,Health,Dental Nursing,AL631,300,,298,,298,,388,6,Athlone Institute of Technology,,,,,,,,,,,,,,
19,Biological and related sciences,Applied Science,AL632,234,,,,234,,434,6,Athlone Institute of Technology,,,,,,,,,,,,,,
20,Business and administration,Business,AL650,207,,,,207,,326,6,Athlone Institute of Technology,,,,,,,,,,,,,,
21,Personal services,Culinary Arts,AL660,AQA,,AQA,,112,,270,6,Athlone Institute of Technology,,avp,,,,,,,,,,,,
22,Personal services,Bar Supervision,AL661,AQA,,AQA,,101,,241,6,Athlone Institute of Technology,,avp,v,,,,,,,,,,,
23,Personal services,Business (Sport and Recreation),AL663,AQA,,AQA,,120,,262,6,Athlone Institute of Technology,,avp,,,,,,,,,,,,
24,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,216,,,,216,,337,7,Athlone Institute of Technology,,,,,,,,,,,,,,
25,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,214,,,,214,,338,7,Athlone Institute of Technology,,,,,,,,,,,,,,
26,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,216,,,,224,,337,7,Athlone Institute of Technology,,,,,,,,,,,,,,
27,Information and Communication Technologies (ICTs),Computer Engineering,AL704,204,,,,204,,403,7,Athlone Institute of Technology,,,,,,,,,,,,,,
28,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL705,216,,,,216,,337,7,Athlone Institute of Technology,,,,,,,,,,,,,,
29,Engineering and engineering trades,Mechanical Engineering,AL710,223,,,,223,,337,7,Athlone Institute of Technology,,,,,,,,,,,,,,
30,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,228,,,,228,,369,7,Athlone Institute of Technology,,,,,,,,,,,,,,
31,Engineering and engineering trades,Automation and Robotics,AL712,252,,,,252,,379,7,Athlone Institute of Technology,,,,,,,,,,,,,,
32,Engineering and engineering trades,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),AL713,218,,,,218,,402,7,Athlone Institute of Technology,,,,,,,,,,,,,,
33,Engineering and engineering trades,Music and Sound Engineering,AL718,214,,,,216,,339,7,Athlone Institute of Technology,,,,,,,,,,,,,,
34,Architecture and construction,Civil Engineering,AL721,233,,,,233,,357,7,Athlone Institute of Technology,,,,,,,,,,,,,,
35,Biological and related sciences,Biotechnology,AL730,250,,,,250,,402,7,Athlone Institute of Technology,,,,,,,,,,,,,,
36,Veterinary,Veterinary Nursing,AL731,400,,,,400,,456,7,Athlone Institute of Technology,,,,,,,,,,,,,,
37,Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,,,244,,359,7,Athlone Institute of Technology,,,,,,,,,,,,,,
38,Personal services,Exercise and Health Science,AL740,250,,,,250,,367,7,Athlone Institute of Technology,,,,,,,,,,,,,,
39,Business and administration,Digital Marketing,AL751,241,,,,241,,318,7,Athlone Institute of Technology,,,,,,,,,,,,,,
40,Business and administration,Business,AL752,225,,,,225,,397,7,Athlone Institute of Technology,,,,,,,,,,,,,,
41,Personal services,Hotel and Leisure Management,AL761,208,,,,208,,309,7,Athlone Institute of Technology,,,,,,,,,,,,,,
42,Arts,Graphic Design (portfolio),AL763,781,,,,781,,858,7,Athlone Institute of Technology,#,,,,,,,,,,,,,
43,Welfare,Early Years Care and Education,AL764,260,,,,260,,398,7,Athlone Institute of Technology,,,,,,,,,,,,,,
44,Welfare,Applied Social Studies in Social Care,AL765,280,,,,280,,358,7,Athlone Institute of Technology,,,,,,,,,,,,,,
80,Welfare,Counselling Skills and Psychotherapy Studies,CI001,300,,,,300,,440,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,,,
81,Welfare,Counselling Skills and Addiction Studies,CI002,309,,,,309,,367,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,,,
82,Welfare,Counselling Skills and Youth Studies,CI005,306,,302,,302,,451,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,,,,
156,Physical sciences,Applied Physics and Instrumentation,CR001,250,,,,250,,487,7,Cork Institute of Technology,,,,,,,,,,,,,,
157,Biological and related sciences,Applied Biosciences,CR006,361,,,,361,,489,7,Cork Institute of Technology,,,,,,,,,,,,,,
158,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,240,,,,240,,487,7,Cork Institute of Technology,,,,,,,,,,,,,,
159,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,321,,,,321,,422,7,Cork Institute of Technology,,,,,,,,,,,,,,
160,Information and Communication Technologies (ICTs),Software Development,CR016,307,,,,307,,413,7,Cork Institute of Technology,,,,,,,,,,,,,,
161,Business and administration,Business (Common Entry),CR021,255,,,,255,,433,7,Cork Institute of Technology,,,,,,,,,,,,,,
162,Business and administration,Business Administration,CR022,190,,,,190,,336,7,Cork Institute of Technology,,,,,,,,,,,,,,
163,Welfare,Social Care Work,CR031,346,,,,346,,411,7,Cork Institute of Technology,,,,,,,,,,,,,,
164,Personal services,Recreation and Leisure Management,CR032,298,,,,298,,378,7,Cork Institute of Technology,,,,,,,,,,,,,,
165,Welfare,Community Development,CR035,100,,,,100,,251,7,Cork Institute of Technology,,,,,,,,,,,,,,
166,Personal services,Tourism Management,CR041,216,,,,216,,399,7,Cork Institute of Technology,,,,,,,,,,,,,,
167,Personal services,Hospitality Management,CR042,208,,,,208,,316,7,Cork Institute of Technology,,,,,,,,,,,,,,
168,Transport services,Automotive Technology and Management,CR046,216,,,,216,,337,7,Cork Institute of Technology,,,,,,,,,,,,,,
169,Architecture and construction,Civil Engineering,CR051,248,,,,248,,451,7,Cork Institute of Technology,,,,,,,,,,,,,,
170,Architecture and construction,Construction,CR052,251,,,,251,,367,7,Cork Institute of Technology,,,,,,,,,,,,,,
171,Arts,Interior Architecture,CR053,308,,,,308,,434,7,Cork Institute of Technology,,,,,,,,,,,,,,
172,Engineering and engineering trades,Environmental Engineering,CR055,258,,,,258,,409,7,Cork Institute of Technology,,,,,,,,,,,,,,
173,Engineering and engineering trades,Electronic Engineering,CR061,260,,,,260,,444,7,Cork Institute of Technology,,,,,,,,,,,,,,
174,Engineering and engineering trades,Electrical Engineering,CR062,300,,,,300,,401,7,Cork Institute of Technology,,,,,,,,,,,,,,
175,Engineering and engineering trades,Mechanical Engineering,CR071,261,,,,261,,444,7,Cork Institute of Technology,,,,,,,,,,,,,,
176,Health,Biomedical Engineering,CR075,306,,,,306,,498,7,Cork Institute of Technology,,,,,,,,,,,,,,
177,Architecture and construction,Architectural Technology,CR090,266,,,,266,,411,7,Cork Institute of Technology,,,,,,,,,,,,,,
178,Transport services,Nautical Science at National Maritime College of Ireland,CR094,243,,,,243,,380,7,Cork Institute of Technology,,,,,,,,,,,,,,
179,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,255,,,,255,,389,7,Cork Institute of Technology,,,,,,,,,,,,,,
198,Physical sciences,Physical Sciences (Common Entry),CR300,282,,,,282,,476,7,Cork Institute of Technology,,,,,,,,,,,,,,
224,Welfare,Early Childhood Education and Care,CR620,365,,357,,357,,454,7,Cork Institute of Technology,,,,,,,,,,,,,,
225,Personal services,Culinary Arts,CR640,244,,,,244,,392,7,Cork Institute of Technology,,,,,,,,,,,,,,
226,Personal services,Beverage Industry Management,CR650,209,,,,209,,316,7,Cork Institute of Technology,,,,,,,,,,,,,,
227,Personal services,Culinary Studies,CR655,189,,,,189,,290,6,Cork Institute of Technology,,,,,,,,,,,,,,
228,Personal services,Hospitality Studies,CR657,180,,163,,163,,198,6,Cork Institute of Technology,,,,,,,,,,,,,,
231,Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,235,,,,235,,326,7,Cork Institute of Technology,,,,,,,,,,,,,,
232,Information and Communication Technologies (ICTs),Information Technology,CR888,290,,,,290,,372,7,Cork Institute of Technology,,,,,,,,,,,,,,
233,Information and Communication Technologies (ICTs),Computing in Information Technology,CT110,210,,,,210,,400,6,CCT College Dublin,,,,,,,,,,,,,,
234,Information and Communication Technologies (ICTs),Information Technology,CT116,219,,,,219,,263,7,CCT College Dublin,,,,,,,,,,,,,,
237,Business and administration,Business,CW006,AQA,,AQA,,AQA,,254,6,"Institute of Technology, Carlow",,avp,,,,,,,,,,,,
239,Agriculture,Sustainable Farm Management and Agribusiness,CW027,266,,,,268,,360,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
241,Business and administration,Business (options),CW037,195,,,,195,,400,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
243,Arts,Visual Communications and Design,CW047,214,,181,,181,,336,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
244,Arts,Art (portfolio),CW057,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
247,Personal services,Tourism and Event Management,CW077,217,,,,217,,311,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
250,Health,Physiology and Health Science,CW106,451,,,,451,,509,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
251,Environment,Analytical Science,CW107,277,,,,277,,445,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
253,Health,Pharmacy Technician Studies,CW116,250,,,,250,,388,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
254,Environment,Biosciences,CW117,205,,,,205,,380,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
255,Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,191,,,,191,,424,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
260,Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,235,,,,235,,369,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
261,Information and Communication Technologies (ICTs),Software Development,CW207,244,,,,244,,329,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
263,Information and Communication Technologies (ICTs),Information Technology Management,CW217,234,,,,234,,377,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
264,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,233,,,,242,,357,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
265,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,212,,,,212,,337,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
270,Architecture and construction,Architectural Technology,CW407,188,,,,188,,358,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
271,Architecture and construction,Construction Management with Building Services,CW417,220,,,,220,,322,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
272,Architecture and construction,Civil Engineering,CW427,199,,,,199,,347,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
276,Engineering and engineering trades,Aircraft Systems,CW507,293,,,,294,,399,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
277,Engineering and engineering trades,Mechanical Engineering,CW517,276,,,,276,,371,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
278,Engineering and engineering trades,Electronic Engineering,CW527,227,,,,227,,357,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
279,Arts,TV and Media Production,CW547,301,,,,301,,413,7,"Institute of Technology, Carlow",,,,,,,,,,,,,,
284,Law,Legal Studies,CW706,163,,,,163,,377,6,"Institute of Technology, Carlow",,,,,,,,,,,,,,
285,Arts,Industrial Design,CW707,207,,,,207,,380,7,"Institute of Technology, Carlow",#,,,,,,,,,,,,,
